False		24.000		2.873		43.966		9.270
False		8.000		1.738		11.418		6.700
False		24.000		5.030		43.966		12.037
False		8.000		1.703		9.313		6.635
False		6.869		1.478		13.646		6.122
False		4.473		1.329		6.753		4.636
False		8.523		1.614		22.809		7.733
False		7.291		1.945		12.502		6.699
False		7.412		0.965		14.763		6.086
False		4.473		1.185		9.313		5.028
False		8.000		2.006		9.313		6.270
False		24.000		4.002		43.966		8.763
False		4.473		1.394		7.547		4.796
False		4.000		0.981		7.547		4.076
False		5.668		1.329		9.311		5.075
False		8.000		1.686		16.000		5.455
False		4.000		1.095		7.547		5.143
False		4.000		1.356		7.547		6.022
False		24.000		3.314		43.966		9.231
False		3.788		1.006		6.144		2.512
False		8.000		1.213		9.100		2.955
False		6.482		2.059		22.218		7.823
False		3.800		0.707		13.017		5.044
False		8.000		1.213		9.100		5.453
False		8.000		1.213		9.100		5.453
False		8.000		1.213		9.100		5.453
False		8.000		1.213		9.100		5.453
False		8.000		1.213		9.100		5.453
False		6.482		1.618		12.679		5.580
False		8.244		1.301		9.100		2.955
False		8.437		1.273		62.972		23.328
False		6.479		1.293		12.679		6.187
False		32.000		11.713		128.000		45.288
False		4.000		0.875		12.211		5.441
False		5.925		1.797		20.182		6.220
False		1.348		0.573		2.387		1.115
False		1.348		0.573		2.387		1.115
False		1.348		0.573		2.387		1.115
False		1.711		0.704		5.120		4.704
False		4.000		1.124		9.313		5.982
False		5.925		1.259		7.942		4.571
False		0.947		0.515		3.202		3.066
False		8.000		1.164		15.178		5.816
False		4.388		1.130		11.938		5.669
False		0.947		0.515		3.202		3.066
False		2.048		1.059		15.377		8.064
False		7.755		1.949		14.034		6.174
False		2.048		0.847		20.624		9.344
False		0.500		0.500		2.998		2.293
False		3.421		0.958		7.997		4.867
False		3.421		1.416		7.997		7.441
False		3.421		1.416		7.997		7.441
False		6.479		1.422		12.679		5.685
False		3.421		1.416		7.997		7.441
False		3.421		0.958		7.997		4.221
False		24.000		7.610		12.412		4.246
False		2.355		0.582		6.272		5.279
False		0.959		0.508		5.045		3.212
False		2.095		0.680		6.871		2.606
